"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin georreferenciar,Total
90,Rentistas de Capital. Solo para personas naturales,,4,17,10,1,2,21,1,3,31,23,2,,1,1,3,,2,1,4,3,0,130
111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",,,1,,,,11,1,1,2,,,,,,,,2,,1,3,1,23
112,Cultivo de arroz,,,,,,,,,1,2,2,,,,,1,,,,,,0,6
113,"Cultivo de hortalizas, raíces y tubérculos",,2,9,,,1,12,6,2,1,6,1,,,1,,3,1,,3,2,1,51
115,Cultivo de plantas textiles,,,,,,,1,,,1,,,,,,,,,1,,,0,3
119,Otros cultivos transitorios n.c.p.,,,2,,,,9,,1,1,4,,,,,1,,,,,1,1,20
121,Cultivo de frutas tropicales y subtropicales,1,1,9,7,2,3,102,8,3,16,20,4,,,4,3,,1,,6,3,1,194
122,Cultivo de plátano y banano,1,,5,3,,,65,,,14,10,,,,,,,,1,1,,0,100
123,Cultivo de café,2,2,7,2,,,31,1,3,3,7,,1,,1,2,1,,,1,1,1,66
124,Cultivo de caña de azúcar,,1,1,,,,3,,1,,1,,,,,1,,,,1,,1,10
125,Cultivo de flor de corte,,,3,1,1,,18,2,1,6,3,,,,,,1,,,,,0,36
126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,3,,1,,1,,20,5,1,3,,,,,,,,,,,1,0,35
127,Cultivo de plantas con las que se preparan bebidas,,,,1,,,3,,,1,2,,,,,,,,,,,0,7
128,Cultivo de especias y de plantas aromáticas y medicinales,,1,8,,1,,31,3,1,7,10,,1,,1,2,,,,3,4,3,76
129,Otros cultivos permanentes n.c.p.,,,1,1,1,,18,1,1,5,2,,,,,,,,,1,1,0,32
130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)",,3,5,1,4,,14,1,5,5,7,1,,3,3,4,2,3,1,4,1,0,67
141,Cría de ganado bovino y bufalino,11,6,39,24,15,,360,31,13,79,84,,,1,2,6,4,5,1,17,8,8,714
142,Cría de caballos y otros equinos,,1,2,,,,5,3,,3,4,,,,1,,,1,,3,,1,24
143,Cría de ovejas y cabras,,,,,,,1,,,,,,,,,,,,,1,,0,2
144,Cría de ganado porcino,,,9,,3,1,36,7,4,5,8,1,,,3,4,2,,2,1,6,1,93
145,Cría de aves de corral,1,,3,,1,1,3,2,1,8,3,1,,,1,3,1,2,,1,1,1,34
149,Cría de otros animales n.c.p.,,2,1,1,,,6,1,,3,1,1,,,,1,3,1,1,3,1,0,26
150,Explotación mixta (agrícola y pecuaria),2,2,10,5,3,1,95,2,2,13,22,,,,3,2,3,2,1,9,5,3,185
161,Actividades de apoyo a la agricultura,2,6,20,2,2,3,66,6,11,14,21,1,,,7,3,4,2,1,11,,0,182
162,Actividades de apoyo a la ganadería,4,5,5,3,3,1,33,4,10,8,10,,,,2,,1,1,,3,3,1,97
163,Actividades posteriores a la cosecha,1,2,3,1,,,8,2,2,1,3,1,,,,,,,,,,0,24
164,Tratamiento de semillas para propagación,,,,,,,3,,,,,,,,,,,,,,,0,3
210,Silvicultura y otras actividades forestales,1,1,3,1,2,,31,4,5,16,6,1,,2,5,,2,2,,3,2,1,88
220,Extracción de madera,,,,1,,,7,,,5,3,,,,1,1,,,,,,1,19
230,Recolección de productos forestales diferentes a la madera,,,1,,1,,,,,,,,,,,,,,,,,0,2
240,Servicios de apoyo a la silvicultura,,1,1,,,,3,2,,1,2,,,,1,,1,,,,,0,12
312,Pesca de agua dulce,,,,,,,,,,1,,,,,,,,,,,,0,1
321,Acuicultura marítima,,,,,,,1,,,,,,,,,,,,,,,0,1
322,Acuicultura de agua dulce,2,1,1,1,1,,4,1,2,9,5,,,,1,1,,,,,1,0,30
510,Extracción de hulla (carbón de piedra),,,,1,1,,6,1,1,2,,,,,,,,,,,,0,12
520,Extracción de carbón lignito,,,,,,,1,,,,,,,,,,,,,,,0,1
721,Extracción de minerales de uranio y de torio,,,,,,,1,,,,,,,,,,,,,,,0,1
722,Extracción de oro y otros metales preciosos,,4,10,3,1,1,87,8,6,26,22,6,,1,2,,1,2,4,2,2,0,188
729,Extracción de otros minerales metalíferos no ferrosos n.c.p.,,,,,,,1,,,2,,2,,,,,,,,,,0,5
811,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",1,3,5,3,2,,16,1,,8,8,1,,,1,1,1,2,,2,2,0,57
812,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",,,1,,,,4,1,,1,1,,,,,,,1,,,,0,9
820,"Extracción de esmeraldas, piedras preciosas y semipreciosas",,,,,,,1,,,,1,,,,,,,,,,,0,2
891,Extracción de minerales para la fabricación de abonos y productos químicos,,1,,,,,1,,,,,,,,,,,,,,,0,2
892,Extracción de halita (sal),,,,,,,1,,,,,,,,,,,,,,,0,1
899,Extracción de otros minerales no metálicos n.c.p.,,,,,,,3,,,,,,,,,,,,,,,0,3
910,Actividades de apoyo para la extracción de petróleo y de gas natural,,,,1,,,,,,,,,,,1,,,,,,,0,2
990,Actividades de apoyo para otras actividades de explotación de minas y canteras,1,,7,,,,34,3,2,7,6,,,,2,,2,1,,,2,0,67
1011,Procesamiento y conservación de carne y productos cárnicos,,16,13,6,26,6,11,22,10,27,15,4,,2,13,1,2,7,3,1,3,1,189
1012,"Procesamiento y conservación de pescados, crustáceos y moluscos",,,1,,1,,2,2,,2,,,,,,1,,,,,,0,9
1020,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",1,3,22,17,8,5,29,16,12,19,16,6,,2,8,6,6,5,3,2,9,1,196
1030,(en blanco),,,1,,,,2,3,,1,4,1,,,,1,,,,1,,0,14
1040,Elaboración de productos lácteos,1,7,7,,8,1,15,5,6,7,11,,,1,6,1,1,5,2,1,1,1,87
1051,Elaboración de productos de molinería,3,9,12,4,4,8,2,4,2,10,3,4,,3,6,1,6,2,1,1,3,0,88
1052,Elaboración de almidones y productos derivados del almidón,,1,,,,,,,1,,,,,,,,,,,,,0,2
1061,Trilla de café,,,,1,,,2,2,,1,,,,,,,,,,,,1,7
1062,"Descafeinado, tostión y molienda del café",,1,2,1,1,,5,4,3,2,5,1,1,,1,2,,,,1,2,0,32
1063,Otros derivados del café,,,1,,,,7,2,1,2,3,,,,,,,,1,,,0,17
1071,Elaboración y refinación de azúcar,,,,,,,,,,,,,,,,,,1,,,,0,1
1072,Elaboración de panela,,,4,,,1,2,,,3,3,,,,,,,,,,,0,13
1081,Elaboración de productos de panadería,11,98,127,50,58,58,80,81,71,204,117,39,,36,56,32,24,42,38,20,54,7,1303
1082,"Elaboración de cacao, chocolate y productos de confitería",,1,9,7,,,8,4,1,4,6,3,,,5,,1,1,,2,1,2,55
1083,"Elaboración de macarrones, fideos, alcuzcuz y productos farináceos similares",,,,,,,,1,,1,2,,,,1,,,,,,,0,5
1084,Elaboración de comidas y platos preparados,9,13,53,15,16,15,76,33,37,61,51,11,,6,21,6,5,17,5,10,22,1,483
1089,Elaboración de otros productos alimenticios n.c.p.,9,19,51,15,16,12,54,49,23,42,36,17,1,6,17,8,10,13,8,5,17,1,429
1090,Elaboración de alimentos preparados para animales,,1,7,1,3,,7,11,3,2,3,,,,4,1,2,1,3,2,1,0,52
1101,"Destilación, rectificación y mezcla de bebidas alcohólicas",,2,3,,,,6,,,3,2,,,,,,,1,,,2,0,19
