"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción,ALTAVISTA,ARANJUEZ,BELEN,BUENOS AIRES,CASTILLA,DOCE DE OCTUBRE,EL POBLADO,GUAYABAL,LA AMERICA,LA CANDELARIA,LAURELES,MANRIQUE,PALMITAS,POPULAR,ROBLEDO,SAN ANTONIO DE PRADO,SAN CRISTOBAL,SAN JAVIER,SANTA CRUZ,SANTA ELENA,VILLA HERMOSA,Sin Georreferenciar,Total
111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",,1,,,1,,10,1,1,1,2,,,,,2,,2,1,,1,1,24
112,Cultivo de arroz,,,,,,,,,2,2,1,,,,1,,,,,,,,6
113,"Cultivo de hortalizas, raíces y tubérculos",1,1,5,1,1,2,11,7,1,4,8,1,,,2,,3,1,,4,1,,54
115,Cultivo de plantas textiles,,,,,,,1,,,,,,,,,,,,1,,,,2
119,Otros cultivos transitorios n.c.p.,,,2,,,1,8,,,2,3,,,,,,1,2,,,,,19
121,Cultivo de frutas tropicales y subtropicales,2,2,11,5,3,2,106,11,3,23,14,1,,2,4,4,,2,,6,,1,202
122,Cultivo de plátano y banano,8,,6,3,,,55,3,,15,8,,,,,,,,,,1,,99
123,Cultivo de café,2,2,7,4,1,,30,3,4,7,4,,2,,3,1,1,,1,,,1,73
124,Cultivo de caña de azúcar,,,1,1,,,4,1,,1,,1,,,,2,,,,,,,11
125,Cultivo de flor de corte,1,,5,1,,,17,1,,5,1,,,,,,,,,,,1,32
126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,6,,,,2,,21,4,1,3,,,,,,,,1,,,,,38
127,Cultivo de plantas con las que se preparan bebidas,,,1,,,,4,,,,1,,,,,,,,,,,,6
128,Cultivo de especias y de plantas aromáticas y medicinales,,1,6,2,5,1,25,4,1,8,8,1,,1,1,1,,1,,3,1,,70
129,Otros cultivos permanentes n.c.p.,,,3,1,1,,15,1,1,3,4,,,1,,,,,,,,,30
130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)",1,2,6,2,4,1,11,3,6,6,3,1,,4,3,4,1,3,2,2,1,1,67
141,Cría de ganado bovino y bufalino,3,8,41,18,17,2,389,25,8,94,87,4,,5,5,8,6,3,,8,4,8,743
142,Cría de caballos y otros equinos,,,2,,,,9,3,,1,3,,,1,,,,1,,1,,1,22
143,Cría de ovejas y cabras,,,,,,,2,,,,,,,,,,,,,,,,2
144,Cría de ganado porcino,,1,8,1,2,,34,8,5,6,17,1,,,3,5,1,,2,4,3,,101
145,Cría de aves de corral,1,,3,,2,2,3,1,1,11,2,,1,1,2,7,1,2,1,,,,41
149,Cría de otros animales n.c.p.,,1,,2,,1,7,2,,6,3,,1,,,1,2,1,1,2,1,,31
150,Explotación mixta (agrícola y pecuaria),1,2,12,5,2,1,93,3,3,12,22,,,,4,2,1,3,,1,,3,170
161,Actividades de apoyo a la agricultura,2,3,16,3,2,4,68,7,9,17,23,,,1,4,2,3,3,1,4,2,,174
162,Actividades de apoyo a la ganadería,3,4,7,3,4,,31,9,5,5,10,,,1,2,1,1,1,,2,1,,90
163,Actividades posteriores a la cosecha,1,1,4,1,,,6,3,,2,2,,,,,1,,,,,1,,22
