"Tabla 18. Estructura empresarial Medellín, según comunas y actividad económica (Total empresas)",,,,,,Volver al índice,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CIIU,Descripción CIIU,EL POBLADO,LA CANDELARIA,LAURELES,BELEN,GUAYABAL,LA AMERICA,BUENOS AIRES,ARANJUEZ,ROBLEDO,CASTILLA,SAN JAVIER,DOCE DE OCTUBRE,SAN ANTONIO DE PRADO,VILLA HERMOSA,MANRIQUE,SAN CRISTOBAL,SANTA CRUZ,POPULAR,ALTAVISTA,SANTA ELENA,PALMITAS,Sin Georreferenciar,Total
0090,Rentistas de Capital,33,31,22,18,2,3,4,4,4,3,2,5,4,4,2,4,,1,1,2,,3,152
0111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas",11,2,1,1,3,1,,1,,,1,,,,,,,1,,,,1,23
0112,Cultivo de arroz,,1,1,,,1,,,,,,,,,,,,,1,,,,4
0113,"Cultivo de hortalizas, raíces y tubérculos",10,3,5,8,9,1,1,1,,,3,1,5,,1,3,,,1,4,,2,58
0115,Cultivo de plantas textiles,2,1,,,,,,,,,,,,,,,1,,,,,,4
0119,Otros cultivos transitorios n.c.p.,14,2,2,2,,,,,1,,,,1,,,,1,,,,,,23
0121,Cultivo de frutas tropicales y subtropicales,117,14,17,14,9,7,6,1,4,4,2,2,2,,2,,,1,2,3,,1,208
0122,Cultivo de plátano y banano,71,12,7,3,1,1,1,,,,1,,1,,,,1,1,1,1,,,102
0123,Cultivo de café,39,5,8,9,3,6,3,2,5,4,,,2,,2,1,1,,3,,2,,95
0124,Cultivo de caña de azúcar,5,3,,1,,,,,,,,,,,,,,,,1,,1,11
0125,Cultivo de flor de corte,19,3,1,6,1,,1,,,,,,1,,,,,,1,1,,,34
0126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,27,2,,2,5,,,1,,1,,,,,,,,,,,,,38
0127,Cultivo de plantas con las que se preparan bebidas,3,1,1,1,,1,,,,,,,,,,,,,,,,,7
0128,Cultivo de especias y de plantas aromáticas y medicinales,28,6,7,7,1,,2,1,1,1,,,4,,,,,,,3,,3,64
0129,Otros cultivos permanentes n.c.p.,18,3,8,2,1,1,,,,1,,,,,,,,,,,,,34
0130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)",14,4,5,4,3,4,3,1,2,5,3,,5,,1,1,1,3,2,4,,,65
0141,Cría de ganado bovino y bufalino,402,79,89,43,32,14,12,8,7,17,8,3,8,5,1,8,1,4,7,11,,13,772
0142,Cría de caballos y otros equinos,13,1,2,1,2,,,,,,1,,,,,,,1,1,1,,,23
0143,Cría de ovejas y cabras,1,,,,,,,,,,,,,,,,,,,1,,,2
0144,Cría de ganado porcino,48,5,13,10,9,5,2,,2,3,1,1,11,3,1,2,1,,2,4,,2,125
0145,Cría de aves de corral,4,8,3,4,1,1,1,1,2,1,1,3,7,,1,1,,,2,1,1,2,45
0149,Cría de otros animales n.c.p.,8,3,4,1,2,,,1,,,1,1,,1,,2,1,,,4,2,,31
0150,Explotación mixta (agrícola y pecuaria),91,9,24,14,6,5,7,1,5,3,2,1,2,,1,2,,,1,4,,2,180
0161,Actividades de apoyo a la agricultura,76,15,20,15,9,7,9,3,6,1,3,5,,1,2,4,2,,3,2,,1,184
0162,Actividades de apoyo a la ganadería,38,8,10,6,4,5,4,2,,4,1,1,1,1,,,,,3,1,,2,91
0163,Actividades posteriores a la cosecha,3,1,2,5,2,,1,,,,,1,,,,2,,1,2,,,,20
0164,Tratamiento de semillas para propagación,4,,1,,,,,,,,,,,,,,,,,,,,5
0210,Silvicultura y otras actividades forestales,33,13,6,5,4,3,1,1,4,2,4,,1,1,,1,,,1,3,,2,85
0220,Extracción de madera,10,8,2,,1,,,1,1,,,,1,1,1,,,,,,,,26
0230,Recolección de productos forestales diferentes a la madera,,,,,,,,,,,,,1,,,,,,,,,,1
0240,Servicios de apoyo a la silvicultura,2,1,1,,,,,1,,1,,1,,,,1,,,,,,,8
0312,Pesca de agua dulce,,1,1,,,,,,,,,,,,,,,,,,,,2
0321,Acuicultura marítima,,1,,1,,,,,,,,,,,,,,,,,,,2
0322,Acuicultura de agua dulce,4,8,2,,,2,3,1,1,1,,,2,,,,1,,1,2,,,28
0510,Extracción de hulla (carbón de piedra),5,4,3,,1,2,,,,,1,,,,,,,,,,,2,18
0520,Extracción de carbón lignito,1,,,,,,,,,,,,,,,,,,,,,,1
0620,Extracción de gas natural,1,,,,,,,,,,,,,,,,,,,,,,1
0710,Extracción de minerales de hierro,,,,,,,,,1,,,,,,,,,,,,,,1
0721,Extracción de minerales de uranio y de torio,1,,,,,,,,,,,,,,,,,,,,,,1
0722,Extracción de oro y otros metales preciosos,95,28,14,12,7,5,4,4,2,2,,1,1,1,2,2,,1,1,,,,182
0729,Extracción de otros minerales metalíferos no ferrosos n.c.p.,4,1,,1,,,,,,,,,,,,,,,1,,,,7
0811,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",16,8,9,3,3,1,,2,,1,2,,1,,,1,,,3,2,,,52
0812,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",5,1,1,,,,,,,,,,,,,,,,2,,,,9
0820,"Extracción de esmeraldas, piedras preciosas y semipreciosas",6,,,1,,,,,,,,,,1,,,,,,,,,8
0891,Extracción de minerales para la fabricación de abonos y productos químicos,,1,,1,,,,,,,,,,1,,,,,,,,,3
0892,Extracción de halita (sal),1,,,,,,,,,,,,,,,,,,,,,,1
0899,Extracción de otros minerales no metálicos n.c.p.,2,,,,,,,,,,,,,,,,,,,,,,2
0910,Actividades de apoyo para la extracción de petróleo y de gas natural,,,1,,,,1,,1,,,,,,,,,,,,,,3
0990,Actividades de apoyo para otras actividades de explotación de minas y canteras,44,3,7,6,2,3,,,4,,1,,,,,,,1,1,,,2,74
1011,Procesamiento y conservación de carne y productos cárnicos,11,37,13,19,21,12,12,21,13,30,9,7,7,8,8,5,4,4,2,2,2,1,248
1012,"Procesamiento y conservación de pescados, crustáceos y moluscos",2,2,1,2,3,,,1,1,1,,,,,,,,,,,,1,14
1020,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",24,21,16,20,17,12,15,10,8,12,8,4,10,9,5,7,6,2,4,3,1,3,217
